Sort_Code,Survey Year,Year4,ID,GID_Compatible_ID,State Code,Type Code,Name,Hous & Com-Total Exp,Hous & Com-Total IG,Hous & Com-Direct Exp,Hous & Com-Cur Oper (E50),Hous & Com-Cap Outlay,Libraries-Total Expend,Libraries-Total IG Exp,Libraries-Direct Exp,Libraries-Current Oper (E52),Libraries-Cap Outlay,Total Nat Res-Tot Exp,Total Nat Res-Tot IG,Total Nat Res-Dir Exp,Total Nat Res-Cur Oper,Total Nat Res-Cap Out,Agriculture-Total Exp,Agriculture-Tot IG Exp,Agriculture-Direct Exp,Agriculture-Cur Oper (E54),Agriculture-Cap Outlay,Fish & Game-Total Exp,Fish & Game-Tot IG Exp,Fish & Game-Direct Exp,Fish & Game-Cur Oper (E55),Fish & Game-Cap Outlay,Forestry-Total Expend,Forestry-Total IG Exp,Forestry-Direct Expend,Forestry-Current Oper (E56),Forestry-Cap Outlay,Soil & Water Resources-Total Expend,Nat Res NEC-Total Exp,Nat Res NEC-Tot IG Exp,Nat Res NEC-Direct Exp,Nat Res NEC-Cur Oper (E59),Nat Res NEC-Cap Outlay,Parks & Rec-Total Exp,Parks & Rec-Tot IG Exp,Parks & Rec-Direct Exp,Parks & Rec-Cur Oper (E61),Parks & Rec-Cap Outlay,Police Prot-Total Exp,Police Prot-Tot IG Exp,Police Prot-Direct Exp,Police Prot-Cur Oper (E62),Police Prot-Cap Outlay,Prot Insp-Total Exp,Prot Insp-Total IG Exp,Prot Insp-Direct Exp,Prot Insp-Current Oper (E66),Prot Insp-Cap Outlay,Public Welf-Total Exp,Public Welf-Tot IG Exp,Public Welf-Direct Exp,Public Welf-Cur Oper,Public Welf-Cash Asst,Public Welf-Cap Outlay,Welf-Categ-Total Exp,Welf-Categ-Tot Exp-Old Age Assistance,Welf-Categ-Tot Exp-Aid to Dep Children,Welf-Categ-Tot Exp-Aid to Blind,Welf-Categ-Tot Exp-Aid to Disabled,Welf-Categ-Tot IG Exp,Welf-Categ-Tot IG Exp-Old Age Assistance,Welf-Categ-Tot IG Exp-Aid to Dep Children,Welf-Categ-Tot IG Exp-Aid to Blind,Welf-Categ-Tot IG Exp-Aid to Disabled,Welf-Categ-Cash Assist (E67),Welf-Categ-Cash Assist-Old Age Assistance,Welf-Categ-Cash Assist-Aid to Dep Children,Welf-Categ-Cash Assist-Aid to Blind,Welf-Categ-Cash Assist-Aid to Disabled,Welf-Categ-IG To Fed (S67),Welf-Cash-Total Exp,Welf-Cash-Tot IG Exp,Welf-Cash-Cash Assist (E68),Total Vendor Payments,Welf-Vend Pmts-Medical (E74),Welf-Vend Pmts-NEC (E75),Welf-State Share Medicare D-To Fed (E73),Welf-State Share Medicare D-To Fed (S74),Welf-Ins-Total Exp,Welf-Ins-Current Oper (E77),Welf-Ins-Cap Outlay,Welf-Public Assist NEC-Total Exp,Welf-Public Assist NEC-Total IG Exp,Welf-Public Assist NEC-Direct Exp,Welf-Administration,Welf-NEC-Total Expend,Welf-NEC-Total IG Exp,Welf-NEC-Direct Expend,Welf-NEC-Current Oper (E79),Welf-NEC-Cap Outlay,Sanitation-Tot Exp,Sanitation-Tot IG,Sanitation-Dir Exp,Sanitation-Cur Op,Sanitation-Cap Out,Sewerage-Total Expend,Sewerage-Total IG Exp,Sewerage-Direct Expend,Sewerage-Current Oper (E80),Sewerage-Cap Outlay,SW Mgmt-Total Expend,SW Mgmt-Tot IG Exp,SW Mgmt-Direct Expend,SW Mgmt-Current Oper (E81),SW Mgmt-Capital Outlay,Total Veterans Svs NEC,Veterans Bonus (E84),Vet Affairs-Total Exp,Vet Affairs-Cur Oper (E85),Vet Affairs-Cap Outlay,Water Trans-Total Exp,Water Trans-Tot IG,Water Trans-Other Than Cap Outlay,Water Trans-Direct Exp,Water Trans-Cur Oper (E87),Water Trans-Cap Outlay,Interest on Gen Debt (I89),Assist & Subsidies NEC,Defense-Total Exp,General NEC-Total Exp,General NEC-Tot IG Exp,General NEC-Direct Exp,General NEC-Cur Oper (E89),General NEC-Cap Outlay,General NEC-IG To Fed (S89),Liquor Stores-Tot Exp,Liquor Stores-Cur Oper (E90),Liquor Stores-Cap Out,Total Util-Total Exp,Total Util-Inter Exp,Total Util-Cur Oper,Total Util-Cap Outlay,Total Util-Construct,Total Util-Other Cap,Water Util-Total Exp,Water Util-Inter Exp (I91),Water Util-Cur Oper (E91),Water Util-Cap Outlay,Water Util-Construct (F91),Water Util-Other Cap (G91),Elec Util-Total Exp,Elec Util-Inter Exp (I92),Elec Util-Cur Oper (E92),Elec Util-Cap Outlay,Elec Util-Construct (F92),Elec Util-Other Cap (G92),Gas Util-Total Exp,Gas Util-Inter Exp (I93),Gas Util-Cur Oper (E93),Gas Util-Cap Outlay,Gas Util-Construct (F93),Gas Util-Other Cap (G93),Transit Util-Total Exp,Transit Util-Inter Exp (I94),Transit Util-Cur Oper (E94),Transit Util-Cap Outlay,Transit Util-Construct (F94),Transit Util-Other Cap (G94),Total Insurance Trust Expend,Emp Ret-Total Expend,Emp Ret-Benefit Paymts (X11),Emp Ret-Withdrawals (X12),Emp Ret-Other Paymts (X14),Unemp Comp-Total Exp,Unemp Comp-Ben Paymts (Y05),Unemp-Ext & Spec Pmts (Y06),Worker Comp-Total Exp,Worker Comp-Ben Paymts (Y14),Worker Comp-Other Pmts (Y15),Oth Ins Trust-Tot Exp,Oth Ins Trst-Ben Pmts (Y53),Oth Ins Trst-Oth Pmts (Y54)
10009.0,0,2000.0,08-2,08000000000000,8,2,DE STATE GOVT,37510,0,37510,35554,1956,5101,1756,3345,3125,220,65834,1281,64553,55523,9030,21010,0,21010,15715,5295,8773,0,8773,6508,2265,2657,0,2657,2583,74,0,33394,1281,32113,30717,1396,50735,2539,48196,22322,25874,65602,2611,62991,58388,4603,42062,17,42045,39036,3009,548363,976,547387,525162,21378,847,19671,0,0,0,0,976,0,0,0,0,18695,0,0,0,0,976,2683,0,2683,356892,356862,30,0,0,41194,41091,103,0,0,0,0,127923,0,127923,127179,744,20102,0,20102,18114,1988,0,0,0,0,0,20102,0,20102,18114,1988,340,0,340,340,0,0,0,0,0,0,0,218280,0,0,230867,46442,184425,172253,12172,0,0,0,0,50834,0,41433,9401,0,9401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50834,0,41433,9401,0,9401,247135,180752,178226,2526,0,61356,61338,18,5027,5027,0,0,0,0
10010.0,0,2000.0,10-2,10000000000000,10,2,FL STATE GOVT,266182,177394,88788,88729,59,50070,44783,5287,4987,300,1438116,25866,1412250,912029,500221,531788,5327,526461,480374,46087,146995,0,146995,113070,33925,75328,778,74550,54214,20336,0,684005,19761,664244,264371,399873,167229,23059,144170,110654,33516,369837,2439,367398,342559,24839,288846,0,288846,272780,16066,9161608,94999,9066609,8770385,274998,21226,369059,0,0,0,0,94061,0,0,0,0,274998,0,0,0,0,0,0,0,0,7522802,7440070,82732,0,0,0,0,0,0,0,0,0,1269747,938,1268809,1247583,21226,118845,106686,12159,10318,1841,83380,83380,0,0,0,35465,23306,12159,10318,1841,22507,0,22507,15582,6925,13404,4822,9856,8582,5034,3548,1075902,0,0,1019620,162537,857083,807084,49999,0,0,0,0,55383,0,31357,24026,19894,4132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55383,0,31357,24026,19894,4132,2666849,1914497,1911895,2602,0,629337,629231,106,123015,123015,42068,0,0,0
10029.0,0,2000.0,29-2,29000000000000,29,2,NV STATE GOVT,15091,2617,12474,12424,50,6264,0,6264,6158,106,82779,6342,76437,64778,11659,25799,0,25799,23468,2331,18491,110,18381,17229,1152,15417,4760,10657,10295,362,0,23072,1472,21600,13786,7814,19013,628,18385,15065,3320,57918,16,57902,50236,7666,60908,2166,58742,56949,1793,822097,31425,790672,763549,24660,2463,32843,0,0,0,0,10269,0,0,0,0,22574,0,0,0,0,5441,2086,0,2086,570171,570171,0,0,0,0,0,0,0,0,0,0,216997,21156,195841,193378,2463,6018,598,5420,5402,18,0,0,0,0,0,6018,598,5420,5402,18,1098,0,1098,1074,24,0,0,0,0,0,0,119926,0,0,158806,23707,135099,103628,31471,831,0,0,0,45001,3735,31691,9575,9468,107,6305,3735,2463,107,0,107,38696,0,29228,9468,9468,0,0,0,0,0,0,0,0,0,0,0,0,0,633254,437802,421421,16381,0,195452,195452,0,0,0,0,0,0,0
10030.0,0,2000.0,30-2,30000000000000,30,2,NH STATE GOVT,60497,11460,49037,48721,316,2957,24,2933,2806,127,44698,3775,40923,31763,9160,5324,0,5324,5141,183,16566,22,16544,14366,2178,2657,362,2295,2222,73,0,20151,3391,16760,10034,6726,8646,1468,7178,5837,1341,39204,802,38402,31002,7400,25994,0,25994,24232,1762,1072978,96080,976898,927941,43889,5068,106720,0,0,0,0,62831,0,0,0,0,43889,0,0,0,0,0,0,0,0,775294,775294,0,0,0,15597,14779,818,0,0,0,0,175367,33249,142118,137868,4250,23768,9348,14420,13878,542,5476,722,4754,4691,63,18292,8626,9666,9187,479,245,0,245,222,23,743,42,644,701,602,99,309874,0,0,80002,5075,74927,65434,9493,0,248979,247559,1420,126,0,122,4,0,4,126,0,122,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232504,205097,185612,19485,0,27407,27407,0,0,0,0,0,0,0
10001.0,0,2000.0,00-2,00000000000000,0,2,US STATE GOVTS,4726273,1563562,3162711,2302401,860310,949922,616111,333811,306787,27024,15966883,965817,15001066,12242727,2758339,6219820,122346,6097474,5655797,441677,2522998,49648,2473350,2114475,358875,1501062,213459,1287603,1171243,116360,0,5723003,580364,5142639,3301212,1841427,4676139,627528,4048611,3004751,1043860,9787596,1206893,8580703,7934293,646410,5950126,176034,5774092,5620048,154044,238890358,40206513,198683845,186792597,11422205,469043,31413070,0,0,0,0,21389940,0,0,0,0,10023130,0,0,0,0,3986183,1828798,429723,1399075,154297083,153006667,1290416,0,0,958800,908848,49952,0,0,0,0,50392607,18386850,32005757,31586666,419091,4560363,1258373,3301990,2682813,619177,1751278,796648,954630,551267,403363,2809085,461725,2347360,2131546,215814,356552,710,355842,290286,65556,877394,14340,567748,863054,553408,309646,29187251,0,0,42646100,7418421,35227679,33612667,1615012,35288,3195254,3182550,12704,10722912,901823,5588679,4232410,2399745,1832665,354424,60645,96531,197248,196092,1156,2956424,365021,2295783,295620,285458,10162,5520,90,5430,0,0,0,7406544,476067,3190935,3739542,1918195,1821347,105455909,75970645,72216032,3754613,0,18583276,18572763,10513,8317018,8317018,2561956,2584970,2584970,220194
10002.0,0,2000.0,01-2,01000000000000,1,2,AL STATE GOVT,2919,0,2919,2882,37,12533,6199,6334,6269,65,194417,861,193556,176844,16712,103211,0,103211,99278,3933,20007,0,20007,17521,2486,26742,811,25931,23819,2112,0,44457,50,44407,36226,8181,11326,0,11326,8924,2402,117831,25660,92171,86908,5263,54287,0,54287,52776,1511,3484564,0,3484564,2896142,587019,1403,587019,0,0,0,0,0,0,0,0,0,587019,0,0,0,0,0,0,0,0,2599258,2599258,0,0,0,0,0,0,0,0,0,0,298287,0,298287,296884,1403,3809,0,3809,3809,0,0,0,0,0,0,3809,0,3809,3809,0,13686,0,13686,13281,405,87763,1500,43077,86263,41577,44686,275930,0,0,415575,134964,280611,234981,45630,0,150590,150444,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322395,1135438,1076500,58938,0,186957,186917,40,0,0,0,0,0,0
10031.0,0,2000.0,31-2,31000000000000,31,2,NJ STATE GOVT,252746,55490,197256,197256,0,18187,14112,4075,3181,894,322011,82032,239979,118671,121308,86646,30793,55853,49444,6409,19514,0,19514,19324,190,8588,724,7864,7864,0,0,207263,50515,156748,42039,114709,324078,7350,316728,281420,35308,405584,3690,401894,394547,7347,241128,3866,237262,237262,0,5730105,1031794,4698311,4693462,0,4849,814087,0,0,0,0,814087,0,0,0,0,0,0,0,0,0,78416,0,0,0,3787069,3787069,0,0,0,48662,47609,1053,0,0,0,0,1080287,217707,862580,858784,3796,247658,113002,134656,134656,0,19644,0,19644,19644,0,228014,113002,115012,115012,0,10689,0,10689,9827,862,16437,0,16268,16437,16268,169,1152847,0,0,2299771,130898,2168873,2148914,19959,0,0,0,0,1886142,7288,981930,896924,649211,247713,23096,7288,13500,2308,1595,713,0,0,0,0,0,0,0,0,0,0,0,0,1863046,0,968430,894616,647616,247000,4736835,3225164,3121396,103768,0,1015087,1013033,2054,120432,120432,19832,376152,376152,30396
10032.0,0,2000.0,32-2,32000000000000,32,2,NM STATE GOVT,9145,0,9145,8882,263,4344,0,4344,3958,386,136490,666,135824,104290,31534,67205,0,67205,55854,11351,21507,348,21159,20634,525,3598,0,3598,3548,50,0,44180,318,43862,24254,19608,44297,964,43333,41165,2168,77574,0,77574,74188,3386,53559,0,53559,53384,175,1462832,0,1462832,1317887,144566,379,140711,0,0,0,0,0,0,0,0,0,140711,0,0,0,0,0,3855,0,3855,1112427,1112426,1,0,0,19756,19559,197,0,0,0,0,186083,0,186083,185901,182,12642,722,11920,11667,253,10109,722,9387,9134,253,2533,0,2533,2533,0,1437,0,1437,1417,20,0,0,0,0,0,0,178646,0,0,104523,29387,75136,63739,11397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715172,642730,580756,61974,0,72442,72442,0,0,0,7444,0,0,0
10003.0,0,2000.0,02-2,02000000000000,2,2,AK STATE GOVT,51072,0,51072,51072,0,5657,1438,4219,4133,86,250331,1012,249319,184882,64437,14309,0,14309,13839,470,111800,0,111800,110179,1621,21807,118,21689,21015,674,0,102415,894,101521,39849,61672,9055,243,8812,8333,479,63311,13642,49669,47380,2289,25490,0,25490,24676,814,914855,112286,802569,631952,165223,5394,274098,0,0,0,0,112286,0,0,0,0,161812,0,0,0,0,112286,3411,0,3411,483302,475805,7497,0,0,33935,32080,1855,0,0,0,0,120109,0,120109,116570,3539,59838,59838,0,0,0,59838,59838,0,0,0,0,0,0,0,0,30349,0,30349,29914,435,0,0,0,0,0,0,248106,0,0,1368364,85488,1282876,1268074,14802,0,0,0,0,64811,10017,54667,127,56,71,0,0,0,0,0,0,64811,10017,54667,127,56,71,0,0,0,0,0,0,0,0,0,0,0,0,574158,458981,447086,11895,0,112091,107447,4644,3086,3086,207,0,0,0
10004.0,0,2000.0,03-2,03000000000000,3,2,AZ STATE GOVT,15033,13613,1420,1407,13,9692,1652,8040,7490,550,161003,2646,158357,148571,9786,86301,776,85525,81512,4013,23455,0,23455,19278,4177,6354,135,6219,6102,117,0,44893,1735,43158,41679,1479,49298,12108,37190,31082,6108,158048,13318,144730,130244,14486,88531,30,88501,83497,5004,3038187,557987,2480200,2039880,421256,19064,902416,0,0,0,0,540758,0,0,0,0,361658,0,0,0,0,0,59598,0,59598,1586521,1586521,0,0,0,4661,4584,77,0,0,0,0,484991,17229,467762,448775,18987,33822,10,33812,33539,273,182,0,182,9,173,33640,10,33630,33530,100,12346,0,12346,11923,423,0,0,0,0,0,0,160112,0,0,658944,54718,604226,583440,20786,0,0,0,0,25943,3729,22199,15,0,15,0,0,0,0,0,0,25943,3729,22199,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1264551,969743,879108,90635,0,148941,148886,55,145867,145867,49886,0,0,0
