GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "05000","Arkansas",5,CAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",64168556,65698816,69656369,74308675,77990351,82891649,88410652,92435635,90992265,94126992,100449543,107007376,107209282,113171547,116632432,119758840,123825419,128970824,131439239,142111663,156361458,160254175
 "05000","Arkansas",5,CAINC5N,20,"...","Population (persons) 2/","Number of persons",2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921561,2938833,2948887,2954685,2961191,2970352,2980602,2990801,2997271,3004248,3014195,3028122,3045637
 "05000","Arkansas",5,CAINC5N,30,"...","Per capita personal income (dollars) ","Dollars",23841,24280,25564,27024,28043,29376,31036,32157,31411,32218,34180,36287,36285,38218,39266,40179,41402,43029,43751,47147,51636,52618
 "05000","Arkansas",5,CAINC5N,35,"...","Earnings by place of work ","Thousands of dollars",46778228,47831689,51021257,54285999,56138078,58320337,60583022,60809083,59361596,61168363,63572664,66664113,69310566,71155917,72094117,72921701,75963666,77996409,80921243,83551099,91437454,97523812
 "05000","Arkansas",5,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",5349797,5538563,5746433,6030076,6386883,6814682,7094866,7390924,7391967,7602572,7115359,7257659,8239762,8599271,8866044,8981131,9311512,9585738,10070576,10618354,11200412,12120483
 "05000","Arkansas",5,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",2766690,2888344,2986045,3141526,3363754,3623463,3795082,3960754,3959523,4035573,3384298,3433168,4389731,4597505,4761270,4897874,5134964,5373717,5627165,5984015,6281084,6868339
 "05000","Arkansas",5,CAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",2583107,2650219,2760388,2888550,3023129,3191219,3299784,3430170,3432444,3566999,3731061,3824491,3850031,4001766,4104774,4083257,4176548,4212021,4443411,4634339,4919328,5252144
 "05000","Arkansas",5,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-374299,-371951,-350317,-318161,-287105,-247999,-180992,-138576,-119630,-128797,-111778,-155234,-214505,-223819,-257225,-207335,-318039,-361628,-361553,-382675,-492469,-681503
 "05000","Arkansas",5,CAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",41054132,41921175,44924507,47937762,49464090,51257656,53307164,53279583,51849999,53436994,56345527,59251220,60856299,62332827,62970848,63733235,66334115,68049043,70489114,72550070,79744573,84721826
 "05000","Arkansas",5,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",11204462,10952251,11341035,12020950,13130948,14824005,16927251,18889381,17145633,17077634,20016677,23419534,21596448,24587603,26201566,27513887,28319046,30716043,28998152,30526392,33224114,35984490
 "05000","Arkansas",5,CAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",11909962,12825390,13390827,14349963,15395313,16809988,18176237,20266671,21996633,23612364,24087339,24336622,24756535,26251117,27460018,28511718,29172258,30205738,31951973,39035201,43392771,39547859
 "05000","Arkansas",5,CAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",32970649,33873186,35118420,37223840,39076385,41362632,43531039,44463338,44017270,44757352,46288979,47879873,48798973,50467231,52441271,53945592,56029138,57865321,60232551,62083743,67248677,72911029
 "05000","Arkansas",5,CAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",7449863,7824532,8409185,8884496,9448867,9735713,10094917,10312700,10254264,10498173,10600141,11306153,11715682,12087188,12233706,12237780,12561043,13111740,13694058,13874219,14433933,15287338
 "05000","Arkansas",5,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",4866756,5174313,5648797,5995946,6425738,6544494,6795133,6882530,6821820,6931174,6869080,7481662,7865651,8085422,8128932,8154523,8384495,8899719,9250647,9239880,9514605,10035194
 "05000","Arkansas",5,CAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",2583107,2650219,2760388,2888550,3023129,3191219,3299784,3430170,3432444,3566999,3731061,3824491,3850031,4001766,4104774,4083257,4176548,4212021,4443411,4634339,4919328,5252144
 "05000","Arkansas",5,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",6357716,6133971,7493652,8177663,7612826,7221992,6957066,6033045,5090062,5912838,6683544,7478087,8795911,8601498,7419140,6738329,7373485,7019348,6994634,7593137,9754844,9325445
 "05000","Arkansas",5,CAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",1718712,983433,2114379,2452836,1607322,1249463,1607473,1309896,679568,399634,479859,822714,2207474,2002628,1009044,612643,1321707,1074256,409396,367445,2044723,2414733
 "05000","Arkansas",5,CAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",4639004,5150538,5379273,5724827,6005504,5972529,5349593,4723149,4410494,5513204,6203685,6655373,6588437,6598870,6410096,6125686,6051778,5945092,6585238,7225692,7710121,6910712
 "05000","Arkansas",5,CAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",2010462,1270589,2402870,2763309,1865500,1505843,1899963,1613358,943492,679383,723690,1127014,2537876,2292935,1340743,965191,1614538,1367346,765006,669859,2341095,2721020
 "05000","Arkansas",5,CAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",44767766,46561100,48618387,51522690,54272578,56814494,58683059,59195725,58418104,60488980,62848974,65537099,66772690,68862982,70753374,71956510,74349128,76629063,80156237,82881240,89096359,94802792
 "05000","Arkansas",5,CAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",37085709,38505616,40039647,42362053,44399214,46339250,47842321,47967767,46774905,48514206,50681069,53365477,54230895,56135182,57933281,59012729,61295818,63295008,66165138,68407516,74316569,79488140
 "05000","Arkansas",5,CAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",371537,373418,392231,469112,462876,468031,403101,406238,411079,512496,448553,504398,499268,527606,561021,564929,560032,548527,520908,537866,504267,485981
 "05000","Arkansas",5,CAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",204708,(D),214228,(D),224916,(D),(D),178903,171240,208055,168476,(D),(D),(D),(D),247558,242029,233733,214013,210500,213488,201351
 "05000","Arkansas",5,CAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",979,(D),716,(D),-1886,(D),(D),-3783,-2665,-678,-566,(D),(D),(D),(D),-880,-1606,-3011,-3305,-2006,-2091,-2601
 "05000","Arkansas",5,CAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",165850,164634,177287,259738,239846,266743,225162,231118,242504,305119,280643,315637,302481,312143,320777,318251,319609,317805,310200,329372,292870,287231
 "05000","Arkansas",5,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",274357,261363,265956,280808,372425,551903,597732,955001,709280,788411,964988,1018486,993018,849403,494794,236502,445782,326679,384979,326146,323931,348028
 "05000","Arkansas",5,CAINC5N,201,"211","    Oil and gas extraction ","Thousands of dollars",114260,115039,119689,115114,187592,279113,213277,452135,240648,302778,420992,502396,547337,436220,144913,12838,221741,79271,146065,84372,79931,87861
 "05000","Arkansas",5,CAINC5N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",93486,92559,95868,104534,104592,112915,116082,109458,81069,90273,119100,119289,105849,98345,99475,100824,115216,130250,130927,139074,151653,163299
 "05000","Arkansas",5,CAINC5N,203,"213","    Support activities for mining ","Thousands of dollars",66611,53765,50399,61160,80241,159875,268373,393408,387563,395360,424896,396801,339832,314838,250406,122840,108825,117158,107987,102700,92347,96868
 "05000","Arkansas",5,CAINC5N,300,"22","   Utilities ","Thousands of dollars",509598,526434,531856,560217,575708,615038,645708,693566,703012,718067,731314,785525,877527,898948,907194,929413,927708,991374,1035282,1121361,1089691,1107188
 "05000","Arkansas",5,CAINC5N,400,"23","   Construction ","Thousands of dollars",2682314,2830212,2865526,3204067,3440014,3678348,3594726,3569557,3518804,3729117,3849581,4161493,3750926,3820750,3999701,4145354,4394521,4462396,4788054,4998794,5400109,5854218
 "05000","Arkansas",5,CAINC5N,401,"236","    Construction of buildings ","Thousands of dollars",520440,515062,614273,759405,830913,892189,910923,977668,1064527,1026151,1095500,1260013,996958,974000,983766,1014142,1032502,1124164,1192662,1239307,1286437,1430419
 "05000","Arkansas",5,CAINC5N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",515383,609609,458878,467678,501336,514283,502778,586467,557502,632512,581877,545870,468612,472582,493146,495344,628565,539279,588611,611854,720606,798500
 "05000","Arkansas",5,CAINC5N,403,"238","    Specialty trade contractors ","Thousands of dollars",1646491,1705541,1792375,1976984,2107765,2271876,2181025,2005422,1896775,2070454,2172204,2355610,2285356,2374168,2522789,2635868,2733454,2798953,3006781,3147633,3393066,3625299
 "05000","Arkansas",5,CAINC5N,500,"31-33","   Manufacturing ","Thousands of dollars",9021611,8943316,8933929,9034468,9078573,9171282,9130596,9013321,8010305,8268447,8456523,8600932,8637995,9118623,9364046,9349365,9683552,10179529,10363237,10339724,11126093,12024225
 "05000","Arkansas",5,CAINC5N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",5199181,5143283,5048946,5016381,5033295,5127811,5043801,4925922,4132474,4250195,4482341,4519634,4505790,4666968,4694285,4561488,4757950,5058973,5251739,5059043,5669147,6083840
 "05000","Arkansas",5,CAINC5N,511,"321","     Wood product manufacturing ","Thousands of dollars",513810,508646,526266,528138,544994,565572,520692,478486,410279,(D),(D),(D),452040,472589,487119,497921,527994,562144,572765,589392,666882,733173
 "05000","Arkansas",5,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",189034,190641,198195,194707,216235,231874,231500,214516,173746,175799,174200,184887,194720,218270,218706,219276,232475,244598,256300,263750,259684,271205
 "05000","Arkansas",5,CAINC5N,513,"331","     Primary metal manufacturing ","Thousands of dollars",852054,916370,777954,642119,541020,575307,592424,653231,456722,539537,733992,779854,779841,754996,675109,561573,562638,733624,825741,681869,965094,890237
 "05000","Arkansas",5,CAINC5N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",770641,714578,721033,748161,785691,800303,809839,814131,736589,723787,695929,741978,754289,819343,839909,857575,901407,936818,968443,978543,1063048,1173930
 "05000","Arkansas",5,CAINC5N,515,"333","     Machinery manufacturing ","Thousands of dollars",651704,627390,621979,628619,648981,680693,661790,661501,565678,582218,623059,627468,624474,661102,667870,657203,711392,741748,802269,774913,830027,964412
