GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "24000","Maryland",2,CAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",198926881,206707343,215973447,230279226,242213966,254883062,265895070,278708349,277623634,287359366,303270094,310420376,309329474,318983090,332956246,344195091,356078970,367831289,380342055,400176131,426367416,432933432
 "24000","Maryland",2,CAINC5N,20,"...","Population (persons) 2/","Number of persons",5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5791559,5854282,5913919,5962350,6008975,6049289,6079669,6112835,6138786,6163628,6173205,6174610,6164660
 "24000","Maryland",2,CAINC5N,30,"...","Per capita personal income (dollars) ","Dollars",37012,37995,39295,41515,43311,45293,47033,49026,48448,49617,51803,52490,51880,53084,55041,56614,58251,59919,61707,64825,69052,70228
 "24000","Maryland",2,CAINC5N,35,"...","Earnings by place of work ","Thousands of dollars",135214123,142403064,149320884,159812577,168343105,176502450,181517421,188471406,189217790,196844218,206188766,211335299,213122352,218545012,228546962,237280340,244491363,250864897,256995653,258242481,274082783,287923831
 "24000","Maryland",2,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",14645922,15441720,16156696,17306189,18230838,19380900,20242235,21009175,20984627,21769565,20186727,20768234,23569289,24138685,25382426,25964760,26790743,28084589,29035714,29466139,31520723,33509502
 "24000","Maryland",2,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",7518088,7938361,8287485,8739858,9291958,9910322,10443186,10864543,10877612,11068612,8966871,9171126,12114126,12553062,13171202,13566638,14166009,15006581,15550649,15826736,16745214,18112631
 "24000","Maryland",2,CAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",7127834,7503359,7869211,8566331,8938880,9470578,9799049,10144632,10107015,10700953,11219856,11597108,11455163,11585623,12211224,12398122,12624734,13078008,13485065,13639403,14775509,15396871
 "24000","Maryland",2,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",19867511,20238731,21106302,22552249,23614376,22951977,23616281,23079948,23235706,23637396,23282859,22945770,22919142,22085765,22412412,22575383,23036618,24569277,26576642,27754076,27445984,29923616
 "24000","Maryland",2,CAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",140435712,147200075,154270490,165058637,173726643,180073527,184891467,190542179,191468869,198712049,209284898,213512835,212472205,216492092,225576948,233890963,240737238,247349585,254536581,256530418,270008044,284337945
 "24000","Maryland",2,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",38614611,38157583,38720501,41225767,42503505,47772252,51649536,54734398,50138960,49453437,53630476,56139475,54636338,57732960,60696923,61268475,65312841,68048277,70994103,70023572,75696252,79741891
 "24000","Maryland",2,CAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",19876558,21349685,22982456,23994822,25983818,27037283,29354067,33431772,36015805,39193880,40354720,40768066,42220931,44758038,46682375,49035653,50028891,52433427,54811371,73622141,80663120,68853596
 "24000","Maryland",2,CAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",99865656,104278920,108722974,115065731,121408261,128329742,134316950,137459815,136266469,139246575,144309787,148855709,150129242,155246670,162492469,167604837,173713277,179741438,186264301,189154196,201542859,213322888
 "24000","Maryland",2,CAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",21055085,22795897,24351488,26390225,28188614,28872022,30158519,31386636,32871816,34171859,36047014,35943123,37289519,38777155,39846388,41122964,41852981,43412920,44014588,44344383,46696601,48797798
 "24000","Maryland",2,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",13927251,15292538,16482277,17823894,19249734,19401444,20359470,21242004,22764801,23470906,24827158,24346015,25834356,27191532,27635164,28724842,29228247,30334912,30529523,30704980,31921092,33400927
 "24000","Maryland",2,CAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",7127834,7503359,7869211,8566331,8938880,9470578,9799049,10144632,10107015,10700953,11219856,11597108,11455163,11585623,12211224,12398122,12624734,13078008,13485065,13639403,14775509,15396871
 "24000","Maryland",2,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",14293382,15328247,16246422,18356621,18746230,19300686,17041952,19624955,20079505,23425784,25831965,26536467,25703591,24521187,26208105,28552539,28925105,27710539,26716764,24743902,25843323,25803145
 "24000","Maryland",2,CAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",275172,48414,151411,287350,256403,172862,136062,265386,282942,238132,352756,446607,607788,444348,331512,209641,398202,180440,411788,96479,492111,622561
 "24000","Maryland",2,CAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",14018210,15279833,16095011,18069271,18489827,19127824,16905890,19359569,19796563,23187652,25479209,26089860,25095803,24076839,25876593,28342898,28526903,27530099,26304976,24647423,25351212,25180584
 "24000","Maryland",2,CAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",417464,225400,309936,443846,383793,315453,307561,428672,437885,386534,479708,628270,792616,640358,494215,395003,615861,375086,571697,265912,656540,865194
 "24000","Maryland",2,CAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",134796659,142177664,149010948,159368731,167959312,176186997,181209860,188042734,188779905,196457684,205709058,210707029,212329736,217904654,228052747,236885337,243875502,250489811,256423956,257976569,273426243,287058637
 "24000","Maryland",2,CAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",105498733,109370075,114354465,123119903,129518516,135598556,138421168,143234139,141662587,146781430,154096409,159172720,159841034,164133413,172417011,179873487,185410954,190306178,194719561,193338362,206544374,217331311
 "24000","Maryland",2,CAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",91735,92009,84555,108201,107253,123585,97517,91574,87242,96335,89237,100306,101262,110834,126199,135992,139686,135336,136349,137755,136097,136707
 "24000","Maryland",2,CAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",17860,18277,19695,26951,28994,28485,17917,16278,12196,12052,12604,21360,23723,28204,30038,29268,28692,25768,28029,28796,26881,22297
 "24000","Maryland",2,CAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",24806,24911,15814,11495,9836,13457,11236,6638,6035,7678,7498,6618,5555,6615,11477,15624,17884,14360,13096,9528,15593,13965
