GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "30000","Montana",7,CAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",21685226,22350296,24015175,26072167,28052041,30362708,32646839,34730541,33926624,35670871,38082705,40436886,40785993,42901443,44583320,45283300,48003346,50352020,53393045,58208785,64542052,68477036
 "30000","Montana",7,CAINC5N,20,"...","Population (persons) 2/","Number of persons",906961,911667,919630,930009,940102,952692,964706,976415,983982,990863,998188,1005385,1015933,1024998,1034413,1045648,1057982,1066542,1075462,1087075,1106227,1122867
 "30000","Montana",7,CAINC5N,30,"...","Per capita personal income (dollars) ","Dollars",23910,24516,26114,28034,29839,31870,33841,35569,34479,36000,38152,40220,40146,41855,43100,43306,45373,47211,49647,53546,58344,60984
 "30000","Montana",7,CAINC5N,35,"...","Earnings by place of work ","Thousands of dollars",14822813,15505266,16611443,18097136,19611354,20887711,22294972,22995278,22481428,23519609,24929846,26193394,27020998,27759327,28826078,28957362,30089438,31440622,33203436,34984223,38551834,42527835
 "30000","Montana",7,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",1907727,2012594,2113473,2249311,2445790,2652563,2854825,2930076,2875713,2942813,2787966,2870457,3327708,3485271,3587864,3554344,3825594,4044962,4180454,4472658,4832887,5389984
 "30000","Montana",7,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",962603,1002317,1044326,1120026,1219366,1320669,1419803,1466694,1450281,1479991,1238849,1283733,1690783,1773562,1839955,1902610,1992083,2121330,2254544,2416303,2640590,2962249
 "30000","Montana",7,CAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",945124,1010277,1069147,1129285,1226424,1331894,1435022,1463382,1425432,1462822,1549117,1586724,1636925,1711709,1747909,1651734,1833511,1923632,1925910,2056355,2192297,2427735
 "30000","Montana",7,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",27860,26310,24012,23366,19840,14676,17007,27254,37118,74323,179755,358377,446913,547408,427934,269291,311901,380461,414821,294266,266218,337841
 "30000","Montana",7,CAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",12942946,13518982,14521982,15871191,17185404,18249824,19457154,20092456,19642833,20651119,22321635,23681314,24140203,24821464,25666148,25672309,26575745,27776121,29437803,30805831,33985165,37475692
 "30000","Montana",7,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",5071668,5023303,5512467,5957710,6325030,7196383,7942756,8672793,7818723,7960683,8771106,9569033,9274448,10324679,10793618,10832537,11841702,12646989,13375871,13919907,15847839,17890891
 "30000","Montana",7,CAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",3670612,3808011,3980726,4243266,4541607,4916501,5246929,5965292,6465068,7059069,6989964,7186539,7371342,7755300,8123554,8778454,9585899,9928910,10579371,13483047,14709048,13110453
 "30000","Montana",7,CAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",10389840,10863689,11394099,12088671,12958410,13980713,15055786,15586721,15259215,15506995,16165270,17110385,17618035,18380877,19253590,19823149,20663053,21599439,22517896,23589378,26157552,28625347
 "30000","Montana",7,CAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",2485985,2709438,2906743,3095795,3341118,3605449,3855938,3990522,3914027,4177650,4470155,4538616,4649675,4810409,4963206,4931215,5345035,5508982,5692009,5766415,6303336,6752823
 "30000","Montana",7,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",1540861,1699161,1837596,1966510,2114694,2273555,2420916,2527140,2488595,2714828,2921038,2951892,3012750,3098700,3215297,3279481,3511524,3585350,3766099,3710060,4111039,4325088
 "30000","Montana",7,CAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",945124,1010277,1069147,1129285,1226424,1331894,1435022,1463382,1425432,1462822,1549117,1586724,1636925,1711709,1747909,1651734,1833511,1923632,1925910,2056355,2192297,2427735
