State,Year,Total Revenue,General Revenue,Total IG Revenue,Total Fed IG Revenue,Tot Local IG Rev,Gen Rev-Own Sources,Total Taxes,Property Tax (T01),Tot Sales & Gr Rec Tax,Total Gen Sales Tax (T09),Total Select Sales Tax,Motor Fuels Tax (T13),Alcoholic Beverage Tax (T10),Tobacco Tax (T16),Public Utility Tax (T15),Individual Income Tax (T40),Corp Net Income Tax (T41),Motor Vehicle License (T24),Tot Chgs and Misc Rev,Total General Charges,Chg-Total Education,Chg-Total High Ed,Chg-Hospitals (A36),Chg-Highways,Chg-Water Transport (A87),Chg-Total Nat Res,Chg-Parks & Recreation (A61),Chg-Housing & Comm Dev (A50),Chg-Sewerage (A80),Chg-Solid Waste Mgmt (A81),Misc General Revenue,Interest Revenue (U20),Special Assessments (U01),Prop Sale-Other (U11),Total Utility Revenue,Water Utility Revenue (A91),Electric Utility Rev (A92),Transit Utility Rev (A94),Liquor Stores Revenue (A90),Total Insur Trust Rev,Total Unemp Rev,Total Emp Ret Rev,Tot Oth In Trust Rev,Gas Utility Rev (A93),Tot Local IG Rev,Chg-Total High Ed
US,1902-01-01,192000.0,190000.0,9000.0,3000.0,6000,181000.0,156000.0,82000.0,28000.0,0.0,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0,0.0,0.0,0.0,6000,0.0
US,1913-01-01,376000.0,376000.0,16000.0,6000.0,10000,360000.0,301000.0,140000.0,55000.0,0.0,55000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,59000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10000,0.0
US,1922-01-01,1360000.0,1254000.0,126000.0,99000.0,27000,1128000.0,947000.0,348000.0,134000.0,0.0,134000.0,13000.0,0.0,0.0,0.0,43000.0,58000.0,0.0,181000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106000.0,0,29000.0,0.0,0.0,27000,0.0
US,1927-01-01,2152000.0,2015000.0,158000.0,107000.0,51000,1857000.0,1608000.0,370000.0,445000.0,0.0,445000.0,259000.0,0.0,0.0,0.0,70000.0,92000.0,0.0,249000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137000.0,0,40000.0,0.0,0.0,51000,0.0
US,1932-01-01,2541000.0,2423000.0,267000.0,222000.0,45000,2156000.0,1890000.0,328000.0,726000.0,7000.0,719000.0,527000.0,0.0,19000.0,0.0,74000.0,79000.0,0.0,266000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118000.0,0,54000.0,0.0,0.0,45000,0.0
US,1934-01-01,3421000.0,3212000.0,969000.0,933000.0,36000,2243000.0,1979000.0,273000.0,978000.0,173000.0,805000.0,565000.0,62000.0,25000.0,0.0,80000.0,49000.0,0.0,264000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,119000.0,0,64000.0,0.0,0.0,36000,0.0
US,1936-01-01,4023000.0,3672000.0,758000.0,719000.0,39000,2914000.0,2618000.0,228000.0,1394000.0,364000.0,1030000.0,687000.0,126000.0,44000.0,0.0,153000.0,113000.0,0.0,296000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183000.0,168000.0,23000,75000.0,0.0,0.0,39000,0.0
US,1938-01-01,5293000.0,4141000.0,681000.0,633000.0,48000,3460000.0,3132000.0,244000.0,1674000.0,447000.0,1227000.0,777000.0,176000.0,55000.0,0.0,218000.0,165000.0,0.0,328000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262000.0,890000.0,726000,85000.0,0.0,0.0,48000,0.0
US,1940-01-01,5737000.0,4382000.0,725000.0,667000.0,58000,3657000.0,3313000.0,260000.0,1852000.0,499000.0,1353000.0,839000.0,193000.0,97000.0,0.0,206000.0,155000.0,0.0,344000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281000.0,1074000.0,878000,108000.0,0.0,0.0,58000,0.0
US,1942-01-01,6870239.0,5131512.0,857633.0,801699.0,55934,4273879.0,3903386.0,264343.0,2217548.0,632286.0,1585262.0,940494.0,256618.0,129941.0,100085.0,249452.0,268722.0,0.0,370493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372733.0,1365994.0,1134327,115141.0,116526.0,0.0,55934,0.0
