GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "06000","California",8,CAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1169366357,1187280934,1240604169,1315172209,1387883820,1493216996,1561307156,1588294546,1539818660,1609997470,1713428004,1814763034,1840885251,1955718006,2097049575,2191138011,2295048653,2411055136,2537950599,2767521379,3013676929,3006647281
 "06000","California",8,CAINC5N,20,"...","Population (persons) 2/","Number of persons",34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37322360,37650514,37970368,38291358,38636290,38966055,39223210,39424071,39535906,39547996,39501653,39142991,39029342
 "06000","California",8,CAINC5N,30,"...","Per capita personal income (dollars) ","Dollars",33915,34047,35191,36969,38737,41454,43070,43391,41660,43138,45509,47794,48076,50619,53817,55863,58214,60984,64174,70061,76991,77036
 "06000","California",8,CAINC5N,35,"...","Earnings by place of work ","Thousands of dollars",914764493,932204242,973563433,1041552904,1091397214,1154689337,1189726778,1179658212,1136303217,1185996970,1249077532,1317973597,1366471583,1438253481,1530524415,1597207757,1682986953,1767234742,1859956484,1909359192,2094293463,2168542286
 "06000","California",8,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",94914950,97854938,102907710,112614177,117629827,120792372,122716310,124987137,121035601,121819506,114606713,119267210,139677841,147558065,156332539,163059362,171586795,181977942,192127363,195390370,213653284,230968885
 "06000","California",8,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",49335714,50402283,51996790,56203156,59262763,62007171,64063072,66568508,65482336,66288765,56069024,57745445,75960589,80426766,85049831,88668259,93751825,100706154,106717566,108293775,120267162,130815848
 "06000","California",8,CAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",45579236,47452655,50910920,56411021,58367064,58785201,58653238,58418629,55553265,55530741,58537689,61521765,63717252,67131299,71282708,74391103,77834970,81271788,85409797,87096595,93386122,100153037
 "06000","California",8,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-314042,-432218,-597373,-791138,-980845,-1236082,-1507690,-1757018,-1517395,-1455292,-1402296,-1308389,-1160959,-1250198,-1457432,-1630142,-1850064,-1904502,-2079181,-2212088,-2618967,-2561826
 "06000","California",8,CAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",819535501,833917086,870058350,928147589,972786542,1032660883,1065502778,1052914057,1013750221,1062722172,1133068523,1197397998,1225632783,1289445218,1372734444,1432518253,1509550094,1583352298,1665749940,1711756734,1878021212,1935011575
 "06000","California",8,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",214146192,207318770,216303450,225572817,245796609,278702836,303009360,317313356,285017329,280368166,311855637,346264450,333250186,364838900,398095023,419576944,449925241,475096553,495481810,504026698,549839340,588270981
 "06000","California",8,CAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",135684664,146045078,154242369,161451803,169300669,181853277,192795018,218067133,241051110,266907132,268503844,271100586,282002282,301433888,326220108,339042814,335573318,352606285,376718849,551737947,585816377,483364725
 "06000","California",8,CAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",648050300,645996513,666057806,705728279,742516778,791450009,834657501,843122831,798914095,813699083,847516542,903207287,933893533,992025352,1067705274,1117915535,1190747913,1260482440,1334844914,1377870887,1537938490,1607341273
 "06000","California",8,CAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",138764200,147832390,161203066,176259238,184801548,189223556,195466736,198972688,190464048,195433240,210218402,211543436,228039293,237704959,250486401,260274929,270049267,280357371,289389267,297407283,311571200,323041105
 "06000","California",8,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",93184964,100379735,110292146,119848217,126434484,130438355,136813498,140554059,134910783,139902499,151680713,150021671,164322041,170573660,179203693,185883826,192214297,199085583,203979470,210310688,218185078,222888068
 "06000","California",8,CAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",45579236,47452655,50910920,56411021,58367064,58785201,58653238,58418629,55553265,55530741,58537689,61521765,63717252,67131299,71282708,74391103,77834970,81271788,85409797,87096595,93386122,100153037
 "06000","California",8,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",127949993,138375339,146302561,159565387,164078888,174015772,159602541,137562693,146925074,176864647,191342588,203222874,204538757,208523170,212332740,219017293,222189773,226394931,235722303,234081022,244783773,238159908
 "06000","California",8,CAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",3174570,3988298,5111847,6882286,6600291,4701601,7540919,5326801,6070023,6972515,9975049,11249438,13707508,16238308,14921734,12219029,11967825,9124080,7740974,8783335,8320660,7699661
 "06000","California",8,CAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",124775423,134387041,141190714,152683101,157478597,169314171,152061622,132235892,140855051,169892132,181367539,191973436,190831249,192284862,197411006,206798264,210221948,217270851,227981329,225297687,236463113,230460247
 "06000","California",8,CAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",8428700,8965280,10101998,12297742,12380366,10329732,12901869,11119275,12362874,13171164,15225223,17370268,20545796,22609066,21222250,18646282,20041415,15669285,15978888,17315815,15575403,16004335
 "06000","California",8,CAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",906335793,923238962,963461435,1029255162,1079016848,1144359605,1176824909,1168538937,1123940343,1172825806,1233852309,1300603329,1345925787,1415644415,1509302165,1578561475,1662945538,1751565457,1843977596,1892043377,2078718060,2152537951
 "06000","California",8,CAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",757722228,763670341,794802813,852649251,895351700,951203015,970266303,952448161,907452265,953270731,1010572655,1078632208,1114440338,1173790711,1254343783,1310296929,1386773584,1468405513,1551558745,1587453591,1763546087,1830266826
 "06000","California",8,CAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",3943711,4041220,4452437,5105930,5199697,5831645,5863177,5847311,5844750,6405359,6696987,7454062,7873988,8303175,9216947,9898303,10176211,10765747,11261626,12690920,12409090,12925476
 "06000","California",8,CAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",233248,229414,223856,246397,248627,227339,176353,167229,135740,201246,198929,195983,181175,184477,263188,251440,253678,261858,309937,454396,406864,377667
 "06000","California",8,CAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",51591,47781,45858,50809,60556,81308,98588,99694,100630,97400,102504,159301,181318,179186,114182,70696,65127,89765,112042,146692,148742,130900
 "06000","California",8,CAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",3658872,3764025,4182723,4808724,4890514,5522998,5588236,5580388,5608380,6106713,6395554,7098778,7511495,7939512,8839577,9576167,9857406,10414124,10839647,12089832,11853484,12416909
 "06000","California",8,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2107813,1906278,2159579,2926846,3853720,5224167,5065867,7155321,4404599,4618049,5251746,6036435,6503958,6712256,4963527,3753851,3216216,3717373,3427775,2839729,2644161,3050869
 "06000","California",8,CAINC5N,201,"211","    Oil and gas extraction ","Thousands of dollars",1057295,1038212,1279170,1976599,2788513,3909480,3617366,5535769,3052252,3136787,3530264,4248593,4757604,4839006,3487233,2509718,1634078,1837083,1561056,1023478,932969,1226646
 "06000","California",8,CAINC5N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",469859,424021,442605,467560,499337,572271,579526,583730,512386,514879,478812,477175,486008,545443,523077,530723,591702,804192,753942,933921,905183,903449
 "06000","California",8,CAINC5N,203,"213","    Support activities for mining ","Thousands of dollars",580659,444045,437804,482687,565870,742416,868975,1035822,839961,966383,1242670,1310667,1260346,1327807,953217,713410,990436,1076098,1112777,882330,806009,920774
 "06000","California",8,CAINC5N,300,"22","   Utilities ","Thousands of dollars",6691924,6672069,6617135,6330870,7019006,8376715,8065567,7870916,7947966,8053608,9046994,8815951,9707915,9980640,10814992,11215797,13726966,16163702,16335148,16847951,16211778,15747062
 "06000","California",8,CAINC5N,400,"23","   Construction ","Thousands of dollars",59636580,61385269,66069897,76064768,82160056,87564970,80522650,65804693,55599228,56195218,53966339,58116689,64731966,69712275,77315654,82295240,89247499,96232677,103905704,101117269,105861510,112639869
 "06000","California",8,CAINC5N,401,"236","    Construction of buildings ","Thousands of dollars",17725042,18890515,21458080,26424100,29065940,30984229,25742489,17239437,15257904,17107276,13680587,13649274,17181730,18579312,21088440,22409293,24376284,26385255,28251093,26851972,26748048,28166007
 "06000","California",8,CAINC5N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",7196153,7535831,7503435,7797045,8348319,8711036,8423880,7685910,6210322,5840218,6601878,8330655,8616010,8962767,8976169,9343463,10297095,11734717,13267647,12983478,14178370,14989556
 "06000","California",8,CAINC5N,403,"238","    Specialty trade contractors ","Thousands of dollars",34715385,34958923,37108382,41843623,44745797,47869705,46356281,40879346,34131002,33247724,33683874,36136760,38934226,42170196,47251045,50542484,54574120,58112705,62386964,61281819,64935092,69484306
 "06000","California",8,CAINC5N,500,"31-33","   Manufacturing ","Thousands of dollars",115146976,106832172,107384388,113284496,117021861,122875648,125152128,122642555,113213225,115564311,119846684,124445460,126037578,133035011,139414534,145528697,153661389,159126826,161854115,172313755,187218373,194388210
 "06000","California",8,CAINC5N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",84195424,76886501,75935751,79826258,82167099,86965012,87917498,85108295,76694118,80532699,84564476,86511366,86442115,91542428,96489455,101886988,109704363,116627937,118429103,127867054,141422872,146052133
 "06000","California",8,CAINC5N,511,"321","     Wood product manufacturing ","Thousands of dollars",1714249,1721936,1760472,1914879,1964761,1884562,1754239,1531942,1100100,1057442,1075361,1065698,1134962,1197949,1269165,1374089,1435391,1547900,1610764,1755596,1955511,2299488
 "06000","California",8,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",2553630,2612283,2664579,2885345,3097709,3167226,2996212,2690637,2031732,1854202,1870034,1949740,2063667,2236141,2431011,2461377,2583458,2744773,2824796,2922236,2922183,3121229
 "06000","California",8,CAINC5N,513,"331","     Primary metal manufacturing ","Thousands of dollars",1468293,1420276,1393599,1550756,1580504,1650120,1619762,1708605,1288619,1270849,1398409,1258107,1046410,1249048,1304382,1382999,1440219,1508406,1505380,1430838,1797418,2038242
 "06000","California",8,CAINC5N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",8029141,7401195,7281654,7769932,8034006,8341758,8627886,8955584,7453695,7537341,8123487,8500310,8660024,9162071,9552918,9613802,9985109,10430279,10565260,10414609,10250034,10909796
 "06000","California",8,CAINC5N,515,"333","     Machinery manufacturing ","Thousands of dollars",7396691,6584477,6647064,6438281,6683176,7066593,7126579,6800988,6071755,6255956,6903280,6933190,7335104,7586546,7924764,8243973,9015157,9492371,9663944,9731578,10450154,10823210
 "06000","California",8,CAINC5N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",40951064,35398023,34302992,36007444,37908801,40706652,41242713,38518159,35672971,39552420,41315792,42596383,41151945,44262276,46358903,51292107,55761520,59624895,60045705,68756162,78269989,78147209
 "06000","California",8,CAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",2564983,2361354,2246797,2314168,2276879,2318391,2384634,2444733,2368837,2485806,2613756,2644063,2716346,2807098,3001264,3142972,3368848,3791097,3848858,3452909,3626361,4002233
 "06000","California",8,CAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",2146582,2297643,2275490,2366103,2368883,2374767,2296773,2454091,2037095,2038347,1756208,1649805,1793730,1938724,2236155,2468416,2958413,3407666,3523681,4800740,6007493,6654462
 "06000","California",8,CAINC5N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",7786793,7875011,7809339,8702890,8449339,8999671,9137757,9470702,9438923,9264898,9999526,9898694,10050941,10145225,11100602,10750007,11432199,11809049,12167342,12246983,12481866,13813121
 "06000","California",8,CAINC5N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",2851812,2749993,2664857,2840142,2825751,2822050,2603144,2368660,1717584,1581409,1663502,1656156,1828348,1977136,2176470,2183789,2289009,2353415,2296275,2240354,2331466,2379795
 "06000","California",8,CAINC5N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",6732186,6464310,6888908,7036318,6977290,7633222,8127799,8164194,7512807,7634029,7845121,8359220,8660638,8980214,9133821,8973457,9435040,9918086,10377098,10115049,11330397,11863348
 "06000","California",8,CAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",30951552,29945671,31448637,33458238,34854762,35910636,37234630,37534260,36519107,35031612,35282208,37934094,39595463,41492583,42925079,43641709,43957026,42498889,43425012,44446701,45795501,48336077
 "06000","California",8,CAINC5N,531,"311","     Food manufacturing ","Thousands of dollars",6425441,6643247,7151752,7301754,7413811,7697445,8093985,8119451,8012594,8208584,8422443,8869468,9022145,9514410,10175559,10459307,10675981,10316826,10576551,11177092,11644581,12902426
 "06000","California",8,CAINC5N,532,"312","     Beverage and tobacco product manufacturing ","Thousands of dollars",2215497,2270653,2371206,2568951,2717532,3030455,3355756,3444957,3252492,3159153,3195794,3643153,4051876,4748016,5258458,5704199,5616436,5036524,5041283,5219348,5703980,6239924
 "06000","California",8,CAINC5N,533,"313","     Textile mills ","Thousands of dollars",524188,521022,465403,507830,487197,481114,456460,453183,369181,367763,383683,376769,398767,392608,396635,374993,356992,360593,352349,353931,348707,387270
 "06000","California",8,CAINC5N,534,"314","     Textile product mills ","Thousands of dollars",632915,614473,623692,640469,594104,546563,553404,532954,439528,423643,400480,408231,453840,486173,486269,485914,495867,498127,536465,546344,590808,641286
 "06000","California",8,CAINC5N,535,"315","     Apparel manufacturing ","Thousands of dollars",2917377,2822265,2808418,3018580,2969336,3140306,3078740,3180252,2631312,2815497,2655326,2942453,3007645,2810119,2564097,2804390,2842263,2822960,2876782,2312467,2638460,2738966
 "06000","California",8,CAINC5N,536,"316","     Leather and allied product manufacturing ","Thousands of dollars",219166,198932,192794,166034,158733,162769,175429,181301,144723,153605,164685,160611,168690,163384,131227,151341,165210,210246,251266,271965,300263,319979
 "06000","California",8,CAINC5N,537,"322","     Paper manufacturing ","Thousands of dollars",1853928,1801186,1810053,1814185,1815562,1814392,1848807,1841713,1837772,1772271,1809342,1650412,1669534,1740033,1906466,1884634,1834163,1907114,1852781,1823630,1926143,2115694
 "06000","California",8,CAINC5N,538,"323","     Printing and related support activities ","Thousands of dollars",3950225,3676926,3455639,3484730,3443791,3511761,3477259,3317969,2772862,2690616,2620842,2530905,2543874,2607119,2717579,2691521,2663428,2661766,2605449,2428799,2465662,2521695
 "06000","California",8,CAINC5N,539,"324","     Petroleum and coal products manufacturing ","Thousands of dollars",2463645,1928906,2227226,2741274,3000579,3687180,3925468,4213493,3439864,3461161,3459303,3739538,3465522,3335994,3243206,2859404,2986272,2975520,3149159,3030659,2663743,2805286
 "06000","California",8,CAINC5N,541,"325","     Chemical manufacturing ","Thousands of dollars",6783470,6595137,7528146,8352121,9359439,8894957,9343885,9353200,11071890,9370389,9501824,10844317,11994524,12764946,12981470,13142636,13153569,12257596,12779944,13794882,13965718,13837449
