GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "12000","Florida",5,CAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",497335404,514288810,540366333,587003015,637602753,690506134,719734158,725995008,685982844,730690145,769798435,794071056,794604073,848535336,905450458,938985637,1011002173,1078010586,1145460767,1221121559,1376879460,1441598918
 "12000","Florida",5,CAINC5N,20,"...","Population (persons) 2/","Number of persons",16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18842884,19039100,19271885,19507621,19795405,20145580,20537931,20871785,21133562,21354519,21589602,21828069,22244823
 "12000","Florida",5,CAINC5N,30,"...","Per capita personal income (dollars) ","Dollars",30405,30815,31779,33706,35736,38009,39184,39185,36777,38778,40433,41204,40733,42865,44945,45720,48439,51009,53640,56561,63078,64806
 "12000","Florida",5,CAINC5N,35,"...","Earnings by place of work ","Thousands of dollars",327004403,343120998,362066843,392048419,425216523,452524071,459621008,445440987,420434356,439036383,450698110,466203394,480823846,509424654,541177714,566761257,600647659,636356650,670879830,683698267,768399192,844048879
 "12000","Florida",5,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",35634392,37327167,39326575,42718732,46628335,50387835,51890300,51687410,49964931,50683139,46678156,48812900,56738107,59769818,62920757,65689113,69210646,73845538,78919354,81397272,88822118,99413074
 "12000","Florida",5,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",18938962,19918301,20944978,22704397,24923149,26876460,27976495,28057367,27264504,27610492,22560205,23343354,30712581,32639010,34722456,36518301,38879961,41903127,44960928,46863532,50818563,57181595
 "12000","Florida",5,CAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",16695430,17408866,18381597,20014335,21705186,23511375,23913805,23630043,22700427,23072647,24117951,25469546,26025526,27130808,28198301,29170812,30330685,31942411,33958426,34533740,38003555,42231479
 "12000","Florida",5,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",1618404,1676464,1773140,1918264,2080460,2298026,2596948,2786404,2643706,2726371,2931519,3016866,3051590,3209652,3341608,3381563,3458311,3520702,3600044,3531117,3669762,3932029
 "12000","Florida",5,CAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",292988415,307470295,324513408,351247951,380668648,404434262,410327656,396539981,373113131,391079615,406951473,420407360,427137329,452864488,481598565,504453707,534895324,566031814,595560520,605832112,683246836,748567834
 "12000","Florida",5,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",130208537,126950855,130587650,144042811,158447803,180994522,197599985,202466139,174386423,187924416,205089181,217550787,206566080,226265990,244841219,249346289,282104544,308529763,333075193,340412411,379614155,409805166
