GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "15000","Hawaii",8,CAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",36996752,38865557,40734228,43729204,46898050,50182645,53022490,55802589,55408952,56649440,59226400,61161571,61983441,65182153,68200770,70744808,73646392,75266429,78551759,82761296,88947977,88973337
 "15000","Hawaii",8,CAINC5N,20,"...","Population (persons) 2/","Number of persons",1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1365064,1384943,1405024,1423171,1434212,1446479,1457008,1458361,1460183,1457034,1451043,1447154,1440196
 "15000","Hawaii",8,CAINC5N,30,"...","Per capita personal income (dollars) ","Dollars",30178,31353,32557,34336,36278,38315,40301,41887,41144,41499,42765,43531,43553,45448,47150,48555,50499,51546,53912,57036,61464,61779
 "15000","Hawaii",8,CAINC5N,35,"...","Earnings by place of work ","Thousands of dollars",28063097,29820581,31743079,34029647,36502651,38576666,39888840,40663696,40170530,40943059,42448328,44251530,45587520,47320042,49692036,51393910,53397316,55029248,56919116,53751629,58446429,61459520
 "15000","Hawaii",8,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",3047811,3232108,3477835,3652919,3919817,4248382,4449538,4530890,4471818,4705778,4476046,4632160,5413472,5452282,5699609,5840634,6073836,6283567,6533556,6214570,6667960,7211100
 "15000","Hawaii",8,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",1541650,1626600,1719567,1844383,1980971,2145432,2283362,2353254,2313426,2337261,1913705,1966078,2596922,2734540,2893871,3025579,3155779,3291572,3460751,3268724,3494686,3814125
 "15000","Hawaii",8,CAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",1506161,1605508,1758268,1808536,1938846,2102950,2166176,2177636,2158392,2368517,2562341,2666082,2816550,2717742,2805738,2815055,2918057,2991995,3072805,2945846,3173274,3396975
 "15000","Hawaii",8,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "15000","Hawaii",8,CAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",25015286,26588473,28265244,30376728,32582834,34328284,35439302,36132806,35698712,36237281,37972282,39619370,40174048,41867760,43992427,45553276,47323480,48745681,50385560,47537059,51778469,54248420
 "15000","Hawaii",8,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",7531095,7470013,7506068,8060854,8587910,9812640,10946583,11943040,11416520,11124832,11601050,12027727,11943231,12699645,13176882,13697555,14362609,14348826,15414999,15834159,16782261,17796916
 "15000","Hawaii",8,CAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",4450371,4807071,4962916,5291622,5727306,6041721,6636605,7726743,8293720,9287327,9653068,9514474,9866162,10614748,11031461,11493977,11960303,12171922,12751200,19390078,20387247,16928001
 "15000","Hawaii",8,CAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",19831092,20866818,22004806,23663999,25184859,26869259,28392837,29194443,28515150,28598193,29450174,30666363,31513299,32830343,34592531,36014286,37257168,38103035,39269426,36763033,39798497,42831250
 "15000","Hawaii",8,CAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",4803051,5278627,5913225,6291863,6812039,6982629,7352436,7604647,7487989,7944463,8697484,8854420,9285663,9664567,9924168,10222781,10456656,10966217,11138394,11130877,11595769,12107239
 "15000","Hawaii",8,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",3296890,3673119,4154957,4483327,4873193,4879679,5186260,5427011,5329597,5575946,6135143,6188338,6469113,6946825,7118430,7407726,7538599,7974222,8065589,8185031,8422495,8710264
