GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "27000","Minnesota",4,CAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",166509015,170085165,177862252,188674909,193583814,203249483,215185417,225533454,216335432,225971601,241599513,255427731,257507779,270190205,282988049,288866631,301748990,317564784,329115631,349887419,381789127,393569020
 "27000","Minnesota",4,CAINC5N,20,"...","Population (persons) 2/","Number of persons",4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5312113,5352572,5388297,5430428,5473353,5509714,5556226,5605384,5650149,5686733,5709852,5711471,5717184
 "27000","Minnesota",4,CAINC5N,30,"...","Per capita personal income (dollars) ","Dollars",33417,33889,35195,37084,37812,39362,41325,42983,40963,42539,45137,47404,47419,49365,51362,51990,53832,56205,57874,61278,66846,68840
 "27000","Minnesota",4,CAINC5N,35,"...","Earnings by place of work ","Thousands of dollars",131679344,135093435,141095703,150929725,154900880,159552889,167147935,171959840,162567044,169567097,179493894,189437137,194360142,201443195,210015982,213544514,223396198,233241058,240612435,244306971,263432953,281140664
 "27000","Minnesota",4,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",15034335,15354054,16036637,16941861,17690273,18558792,19325257,19933376,19268428,19583366,18321245,19063750,22424142,23117096,23937408,24621148,25693344,26968956,27942041,28257012,30000139,32428999
 "27000","Minnesota",4,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",7719236,7912051,8174162,8629836,8996907,9505875,9972257,10352177,10037761,10138376,8310229,8594750,11486695,12023003,12522204,12969946,13579781,14377835,14969315,15203862,16334818,17815438
 "27000","Minnesota",4,CAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",7315099,7442003,7862475,8312025,8693366,9052917,9353000,9581199,9230667,9444990,10011016,10469000,10937447,11094093,11415204,11651202,12113563,12591121,12972726,13053150,13665321,14613561
 "27000","Minnesota",4,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-1083894,-1112806,-1181001,-1259295,-1321510,-1275976,-1393161,-1421567,-1147796,-1105728,-1142672,-927206,-889569,-920388,-1024054,-1197414,-1336369,-1319577,-1494716,-1510569,-1703309,-1833013
 "27000","Minnesota",4,CAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",115561115,118626575,123878065,132728569,135889097,139718121,146429517,150604897,142150820,148878003,160029977,169446181,171046431,177405711,185054520,187725952,196366485,204952525,211175678,214539390,231729505,246878652
 "27000","Minnesota",4,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",31725678,30588892,32100713,32937871,33582694,36977943,39677676,41968678,38001633,38066748,42229450,46625604,45693369,49539372,53227695,55027414,57275201,61389442,64750104,64238709,71747047,78843067
 "27000","Minnesota",4,CAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",19222222,20869698,21883474,23008469,24112023,26553419,29078224,32959879,36182979,39026850,39340086,39355946,40767979,43245122,44705834,46113265,48107304,51222817,53189849,71109320,78312575,67847301
