GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "33000","New Hampshire",1,CAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",46179929,46972303,47832952,50732988,52464303,56084854,58305527,60153763,59381531,61880875,64888948,67318055,67121768,69630452,72779569,75228976,78660960,82353730,87706343,93582021,100196849,103121917
 "33000","New Hampshire",1,CAINC5N,20,"...","Population (persons) 2/","Number of persons",1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1317094,1321886,1327287,1331050,1339224,1343633,1351059,1358984,1364875,1371834,1378587,1387505,1395231
 "33000","New Hampshire",1,CAINC5N,30,"...","Per capita personal income (dollars) ","Dollars",36782,37013,37374,39324,40404,42866,44422,45713,45119,46983,49088,50719,50428,51993,54166,55681,57882,60338,63934,67883,72214,73910
 "33000","New Hampshire",1,CAINC5N,35,"...","Earnings by place of work ","Thousands of dollars",33074729,33957235,34927017,36877127,38532370,40948524,41521272,41650608,41605130,43475132,44467737,45136323,45769911,47430428,48948915,50633351,52707762,55226178,58196245,60436883,68395604,70795485
 "33000","New Hampshire",1,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",3323809,3370703,3533252,3792315,3960754,4148683,4318946,4458451,4431279,4556473,4223629,4328211,4953716,5128211,5332973,5519535,5825995,6074857,6326743,6534207,7148959,7785579
 "33000","New Hampshire",1,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",1787966,1827244,1913988,2037802,2150290,2268905,2378367,2455591,2411980,2448250,2009798,2052090,2686758,2820029,2973128,3095400,3272259,3445565,3605441,3717757,4031091,4438533
 "33000","New Hampshire",1,CAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",1535843,1543459,1619264,1754513,1810464,1879778,1940579,2002860,2019299,2108223,2213831,2276121,2266958,2308182,2359845,2424135,2553736,2629292,2721302,2816450,3117868,3347046
 "33000","New Hampshire",1,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",4063813,3935537,3949975,4229815,4221498,4375629,4747404,4878190,4161492,4767603,5086094,5492920,5200029,4942127,5473544,5853992,6084754,6411765,7308536,7367365,4879728,6804581
 "33000","New Hampshire",1,CAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",33814733,34522069,35343740,37314627,38793114,41175470,41949730,42070347,41335343,43686262,45330202,46301032,46016224,47244344,49089486,50967808,52966521,55563086,59178038,61270041,66126373,69814487
 "33000","New Hampshire",1,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",7711710,7383038,7293686,7736161,7744200,8580588,9486411,10130754,9471707,9058484,10485066,11801374,11707262,12362002,12906701,12823546,13829540,14197538,15456022,15263676,15994122,17068205
 "33000","New Hampshire",1,CAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",4653486,5067196,5195526,5682200,5926989,6328796,6869386,7952662,8574481,9136129,9073680,9215649,9398282,10024106,10783382,11437622,11864899,12593106,13072283,17048304,18076354,16239225
 "33000","New Hampshire",1,CAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",22310997,22563552,23375076,24859374,25963070,27442895,28502621,29108690,28022573,28465853,29459035,30471559,31224674,33034483,34486250,35726662,37119586,38577507,40275038,41745561,48107773,49956414
 "33000","New Hampshire",1,CAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",4713403,4936023,5256012,5613139,5941394,6181168,6433844,6681561,7023828,7170285,7425306,7126316,7453642,7596383,7817759,7986243,8251158,8673755,8892135,8953105,9689207,10100527
 "33000","New Hampshire",1,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",3177560,3392564,3636748,3858626,4130930,4301390,4493265,4678701,5004529,5062062,5211475,4850195,5186684,5288201,5457914,5562108,5697422,6044463,6170833,6136655,6571339,6753481
 "33000","New Hampshire",1,CAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",1535843,1543459,1619264,1754513,1810464,1879778,1940579,2002860,2019299,2108223,2213831,2276121,2266958,2308182,2359845,2424135,2553736,2629292,2721302,2816450,3117868,3347046
 "33000","New Hampshire",1,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",6050329,6457660,6295929,6404614,6627906,7324461,6584807,5860357,6558729,7838994,7583396,7538448,7091595,6799562,6644906,6920446,7337018,7974916,9029072,9738217,10598624,10738544
 "33000","New Hampshire",1,CAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",5195,-1677,9334,19733,18299,6730,2715,21493,809,17539,18140,32074,50379,23148,35717,1842,25116,10926,25798,11944,-2371,-70101
 "33000","New Hampshire",1,CAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",6045134,6459337,6286595,6384881,6609607,7317731,6582092,5838864,6557920,7821455,7565256,7506374,7041216,6776414,6609189,6918604,7311902,7963990,9003274,9726273,10600995,10808645
 "33000","New Hampshire",1,CAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",42046,42551,48855,58083,49212,40715,42686,59799,37471,52538,48083,84759,104368,80334,82910,55116,67881,49421,57372,45590,29834,-21854
 "33000","New Hampshire",1,CAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",33032683,33914684,34878162,36819044,38483158,40907809,41478586,41590809,41567659,43422594,44419654,45051564,45665543,47350094,48866005,50578235,52639881,55176757,58138873,60391293,68365770,70817339
 "33000","New Hampshire",1,CAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",29355845,29967894,30525165,32233826,33694886,35888063,36192663,36053459,35851757,37511258,38611463,39276166,39697865,41136244,42607008,44205544,46182361,48460327,51284817,53358460,61241315,63551216
 "33000","New Hampshire",1,CAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",74894,67085,77914,80020,62484,69549,51320,44937,46275,59107,72412,92977,83685,94390,105528,113800,119212,90991,106664,147890,136944,137461
 "33000","New Hampshire",1,CAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",39129,32654,44385,47697,32100,37026,24444,22441,23469,25398,38622,52820,49152,56978,56263,60002,57631,29010,51565,94401,81159,71974
 "33000","New Hampshire",1,CAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",10410,10009,11175,9748,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "33000","New Hampshire",1,CAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",25355,24422,22354,22575,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "33000","New Hampshire",1,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",28118,29251,29098,32288,35461,37967,43438,45590,29928,34498,36265,37992,35569,37189,35634,36382,53197,49941,43987,53206,52228,60077
 "33000","New Hampshire",1,CAINC5N,201,"211","    Oil and gas extraction ","Thousands of dollars",-347,-333,-181,-349,-102,1158,2027,8364,1680,3265,(D),4074,2016,1934,-1187,-2165,9986,1530,-2549,-433,729,1815
 "33000","New Hampshire",1,CAINC5N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),25989,28677,28194,29404,31311,33537,35888,37284,36439,42376,(D),45781
