GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "44000","Rhode Island",1,CAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",33611758,34965677,36700205,38541514,39241318,41162032,42935212,43768605,42764925,44973874,46685369,48186451,48187015,50045148,51775192,52514454,54704265,56918930,60313567,64756554,69837337,69514211
 "44000","Rhode Island",1,CAINC5N,20,"...","Population (persons) 2/","Number of persons",1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1054954,1058647,1063602,1068168,1073041,1077348,1082251,1084914,1091751,1094524,1096345,1096985,1093734
 "44000","Rhode Island",1,CAINC5N,30,"...","Per capita personal income (dollars) ","Dollars",31795,32801,34256,35867,36746,38719,40608,41487,40588,42631,44099,45305,45112,46639,48058,48523,50423,52135,55105,59066,63663,63557
 "44000","Rhode Island",1,CAINC5N,35,"...","Earnings by place of work ","Thousands of dollars",23244151,24490465,25920024,27223088,28013842,29366757,29871870,29770583,28759024,30637905,31243578,32356157,33078157,34223038,35390032,35909471,37081297,38317238,39712066,39977602,43188551,45870610
 "44000","Rhode Island",1,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",2866388,2975050,3145174,3294908,3423581,3614508,3701225,3748088,3689190,3789367,3495147,3579155,4117356,4289721,4494410,4615995,4768967,4934298,5091027,5083873,5492430,5908513
 "44000","Rhode Island",1,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",1510830,1585589,1680025,1759307,1822918,1938603,1996806,2030852,1982912,2018843,1676608,1698350,2182215,2273877,2385004,2469784,2574109,2696960,2789431,2812277,3029456,3282734
 "44000","Rhode Island",1,CAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",1355558,1389461,1465149,1535601,1600663,1675905,1704419,1717236,1706278,1770524,1818539,1880805,1935141,2015844,2109406,2146211,2194858,2237338,2301596,2271596,2462974,2625779
 "44000","Rhode Island",1,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",1428973,1415365,1376232,1598877,1439530,1452327,1529510,1311170,1238642,1023497,1279947,1422942,1415227,1153462,1340837,1420692,1658676,2060832,3028266,3185466,3249939,2961853
 "44000","Rhode Island",1,CAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",21806736,22930780,24151082,25527057,26029791,27204576,27700155,27333665,26308476,27872035,29028378,30199944,30376028,31086779,32236459,32714168,33971006,35443772,37649305,38079195,40946060,42923950
 "44000","Rhode Island",1,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",6300112,6290671,6644356,6716241,6662704,7171418,7798746,8173382,7493015,7567594,8039117,8496822,8179137,8594661,8986746,9227589,9833663,10314675,10951936,10981443,12085640,12505583
 "44000","Rhode Island",1,CAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",5504910,5744226,5904767,6298216,6548823,6786038,7436311,8261558,8963434,9534245,9617874,9489685,9631850,10363708,10551987,10572697,10899596,11160483,11712326,15695916,16805637,14084678
 "44000","Rhode Island",1,CAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",16763538,17443287,18452216,19217707,19811476,20801258,21408080,21669601,20911963,21481261,22013714,22662324,23449748,24578533,25614286,26214589,27182823,27920811,28844990,28903251,31042900,33423367
 "44000","Rhode Island",1,CAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",3875163,4175889,4434828,4738621,5000094,5305693,5484709,5557504,5303268,5775109,5607443,5635872,5713601,5915298,6118722,6290675,6499380,6702899,6775066,6815121,7348326,7738169
 "44000","Rhode Island",1,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",2519605,2786428,2969679,3203020,3399431,3629788,3780290,3840268,3596990,4004585,3788904,3755067,3778460,3899454,4009316,4144464,4304522,4465561,4473470,4543525,4885352,5112390
 "44000","Rhode Island",1,CAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",1355558,1389461,1465149,1535601,1600663,1675905,1704419,1717236,1706278,1770524,1818539,1880805,1935141,2015844,2109406,2146211,2194858,2237338,2301596,2271596,2462974,2625779
 "44000","Rhode Island",1,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",2605450,2871289,3032980,3266760,3202272,3259806,2979081,2543478,2543793,3381535,3622421,4057961,3914808,3729207,3657024,3404207,3399094,3693528,4092010,4259230,4797325,4709074
 "44000","Rhode Island",1,CAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",3252,3904,6283,8592,10567,7156,5513,9440,11012,10961,8794,6169,4138,-1193,6553,-2990,9994,5206,4879,3837,6257,7894
