GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "47000","Tennessee",5,CAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",158125252,162879395,169929514,179892943,188177577,200188916,209746788,218372476,217094703,227613018,241431730,252592322,254464603,263856025,277356111,286532273,299307669,316176537,335496924,359633593,396986140,411035072
 "47000","Tennessee",5,CAINC5N,20,"...","Population (persons) 2/","Number of persons",5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6356320,6404344,6463111,6507640,6558710,6612901,6672356,6739437,6806545,6862378,6925619,6968351,7051339
 "47000","Tennessee",5,CAINC5N,30,"...","Per capita personal income (dollars) ","Dollars",27496,28102,29059,30435,31410,32878,33963,34954,34427,35809,37698,39082,39102,40230,41942,42943,44411,46452,48889,51928,56970,58292
 "47000","Tennessee",5,CAINC5N,35,"...","Earnings by place of work ","Thousands of dollars",124037951,128528619,133515438,142064931,147601537,156151353,160502483,162069993,159149435,164770290,173810441,182666976,187256165,194835601,204821652,212224922,221567574,233325390,245947655,253418091,279764872,303722111
 "47000","Tennessee",5,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",13336813,13906423,14402866,15201208,15832472,16750980,17527595,17986730,17641446,17989483,16681876,17204102,19853508,20599795,21643622,22443183,23713640,24853367,26167635,27320840,29500049,33057095
 "47000","Tennessee",5,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",7040087,7355501,7591138,8063738,8532823,9162148,9644841,9866163,9584234,9775971,8134363,8382741,10957679,11574684,12142040,12669636,13424849,14225310,14923805,15658784,17112218,19300856
 "47000","Tennessee",5,CAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",6296726,6550922,6811728,7137470,7299649,7588832,7882754,8120567,8057212,8213512,8547513,8821361,8895829,9025111,9501582,9773547,10288791,10628057,11243830,11662056,12387831,13756239
 "47000","Tennessee",5,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-1563074,-1553447,-1560679,-1644785,-1459230,-1385594,-1486085,-1387115,-971815,-750423,-763682,-1076991,-1242361,-1202451,-1322480,-1596417,-1752537,-1976051,-2329091,-2209305,-2299795,-2355772
 "47000","Tennessee",5,CAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",109138064,113068749,117551893,125218938,130309835,138014779,141488803,142696148,140536174,146030384,156364883,164385883,166160296,173033355,181855550,188185322,196101397,206495972,217450929,223887946,247965028,268309244
 "47000","Tennessee",5,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",23696917,22684736,23586279,24050194,25103714,27575924,30218000,32904682,30538632,31172108,33680670,36317851,34875298,36741100,38608058,40198699,43171517,46750800,51081529,51606276,55217153,60174331
 "47000","Tennessee",5,CAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",25290271,27125910,28791342,30623811,32764028,34598213,38039985,42771646,46019897,50410526,51386177,51888588,53429009,54081570,56892503,58148252,60034755,62929765,66964466,84139371,93803959,82551497
 "47000","Tennessee",5,CAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",86150248,88371841,91357622,96727530,100725239,107004117,111984272,113679277,107955650,111156977,115349582,121831698,124030575,129859755,137496330,142849641,149238152,156800109,163732284,167760953,185795651,203567975
 "47000","Tennessee",5,CAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",18906719,19836204,21494486,22997254,24162544,24120578,25356115,26294503,25281512,25203180,26349129,28780477,29510106,29445612,30259986,31020700,32566128,34564082,35804774,36485861,38604560,40439510
 "47000","Tennessee",5,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",12609993,13285282,14682758,15859784,16862895,16531746,17473361,18173936,17224300,16989668,17801616,19959116,20614277,20420501,20758404,21247153,22277337,23936025,24560944,24823805,26216729,26683271
 "47000","Tennessee",5,CAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",6296726,6550922,6811728,7137470,7299649,7588832,7882754,8120567,8057212,8213512,8547513,8821361,8895829,9025111,9501582,9773547,10288791,10628057,11243830,11662056,12387831,13756239
 "47000","Tennessee",5,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",18980984,20320574,20663330,22340147,22713754,25026658,23162096,22096213,25912273,28410133,32111730,32054801,33715484,35530234,37065336,38354581,39763294,41961199,46410597,49171277,55364661,59714626
 "47000","Tennessee",5,CAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",296639,-104339,-18263,168288,369746,79601,-346365,20157,105335,-84637,344545,99579,861006,300883,133685,-247787,-197523,-509122,-111900,-269628,447584,-5052
 "47000","Tennessee",5,CAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",18684345,20424913,20681593,22171859,22344008,24947057,23508461,22076056,25806938,28494770,31767185,31955222,32854478,35229351,36931651,38602368,39960817,42470321,46522497,49440905,54917077,59719678
 "47000","Tennessee",5,CAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",460652,88629,197558,383141,545021,276094,-109917,244764,318854,117117,520490,342853,1108120,563304,353079,-3912,65144,-270963,84729,-59592,646732,284285
 "47000","Tennessee",5,CAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",123577299,128439990,133317880,141681790,147056516,155875259,160612400,161825229,158830581,164653173,173289951,182324123,186148045,194272297,204468573,212228834,221502430,233596353,245862926,253477683,279118140,303437826
 "47000","Tennessee",5,CAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",106761169,110410134,114108095,121208024,125862886,133928119,137634009,137864456,134394190,139891510,147578773,155917578,159520821,166828282,176797224,184062676,192414873,203091941,214519986,221165302,245662913,268785447
 "47000","Tennessee",5,CAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",1631428,1567990,1285789,1014527,841217,1307418,1074988,819182,364644,196653,219863,240168,235051,252035,251633,331622,345070,388669,378058,413825,369139,349300
 "47000","Tennessee",5,CAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",(D),1423484,(D),849460,677959,1126092,934105,688760,238130,36356,73337,74628,69929,79889,71716,149402,160847,189865,174760,191208,150666,127899
 "47000","Tennessee",5,CAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(D),219,(D),-1426,-2585,-2190,-5367,-6393,-8064,-4086,-5519,-4378,-4534,-4481,-3278,-3453,-3913,-5663,-6158,-3571,-3760,-3455
 "47000","Tennessee",5,CAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",148748,144287,150787,166493,165843,183516,146250,136815,134578,164383,152045,169918,169656,176627,183195,185673,188136,204467,209456,226188,222233,224856
 "47000","Tennessee",5,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",189030,166516,154533,161646,210758,252114,275413,315473,249546,305897,311456,304331,317778,345486,325915,274817,286400,333572,323547,340164,343561,442972
 "47000","Tennessee",5,CAINC5N,201,"211","    Oil and gas extraction ","Thousands of dollars",-6237,-6556,-11035,-4745,-1987,9892,9034,25709,17490,25412,35063,34699,44997,51737,21576,7803,6597,4745,4716,-122,61,5156
 "47000","Tennessee",5,CAINC5N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",188996,165002,157339,152449,189127,208490,231639,243359,182439,223759,220806,235486,241200,263769,275793,241909,253129,303000,282056,312739,313355,366612
 "47000","Tennessee",5,CAINC5N,203,"213","    Support activities for mining ","Thousands of dollars",6271,8070,8229,13942,23618,33732,34740,46405,49617,56726,55587,34146,31581,29980,28546,25105,26674,25827,36775,27547,30145,71204
 "47000","Tennessee",5,CAINC5N,300,"22","   Utilities ","Thousands of dollars",285803,290357,330436,417042,378971,414349,357972,496377,462869,433396,360172,336810,340138,372567,386283,349131,380028,430275,572330,773545,954371,899196
