GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "49000","Utah",7,CAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",56788677,58508581,60770445,64794962,70661847,78561107,85528474,89967770,86594676,88940512,95881711,101928136,105027979,111056448,119661481,126540574,134546734,144645502,155673648,169940204,190468266,201011812
 "49000","Utah",7,CAINC5N,20,"...","Population (persons) 2/","Number of persons",2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2776094,2818261,2860480,2908068,2950652,2999092,3063043,3125784,3180896,3232701,3283785,3339113,3380800
 "49000","Utah",7,CAINC5N,30,"...","Per capita personal income (dollars) ","Dollars",24867,25167,25749,26980,28751,31107,32924,33784,31796,32038,34022,35633,36116,37638,39899,41312,43044,45473,48156,51751,57042,59457
 "49000","Utah",7,CAINC5N,35,"...","Earnings by place of work ","Thousands of dollars",45587013,46615654,48163688,51887238,56045896,62649588,67268276,68572716,65615026,66867077,70936087,75863766,79842832,84074782,89799378,94865976,100780473,108529513,116390075,124547300,136289757,147787924
 "49000","Utah",7,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",5291643,5454821,5678057,6169352,6684968,7283576,7832974,8021755,7767728,7863894,7464021,7854333,9301092,9790946,10233246,10759624,11406969,12016765,12777105,13778082,15014189,16568957
 "49000","Utah",7,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",2636880,2712075,2784643,2998813,3244122,3575275,3916294,4013245,3928087,4006610,3270723,3440245,4667972,4943847,5206972,5499081,6001494,6378466,6805804,7374266,8024339,8845238
 "49000","Utah",7,CAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",2654763,2742746,2893414,3170539,3440846,3708301,3916680,4008510,3839641,3857284,4193298,4414088,4633120,4847099,5026274,5260543,5405475,5638299,5971301,6403816,6989850,7723719
 "49000","Utah",7,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",-216,-2169,1237,2023,15365,19495,15905,33590,7239,1251,-1043,16461,27699,33792,8094,-27549,-33268,-30919,-48823,-96395,-135087,-137202
 "49000","Utah",7,CAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",40295154,41158664,42486868,45719909,49376293,55385507,59451207,60584551,57854537,59004434,63471023,68025894,70569439,74317628,79574226,84078803,89340236,96481829,103564147,110672823,121140481,131081765
 "49000","Utah",7,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",10462297,10748723,11258227,11636048,13175713,14364883,16475471,18169033,16330593,16169515,18190768,19791499,19865412,21622918,24031297,25687013,27878412,29707063,31998033,33236129,38084967,42895662
 "49000","Utah",7,CAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",6031226,6601194,7025350,7439005,8109841,8810717,9601796,11214186,12409546,13766563,14219920,14110743,14593128,15115902,16055958,16774758,17328086,18456610,20111468,26031252,31242818,27034385
 "49000","Utah",7,CAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",34266548,34840761,35682065,38108456,40869563,45068696,49198920,50590973,48862379,49603272,51945814,55084163,57348654,60569750,64650200,68339320,72535259,78014232,83839532,89755378,99153686,109007445
 "49000","Utah",7,CAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",7669638,7967058,8452985,9305621,10146001,11312017,12037727,12462860,12128177,12167041,13169307,13316130,14577885,14821211,15485071,16326825,17250127,18639407,19314363,20110232,21205816,22316175
 "49000","Utah",7,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",5014875,5224312,5559571,6135082,6705155,7603716,8121047,8454350,8288536,8309757,8976009,8902042,9944765,9974112,10458797,11066282,11844652,13001108,13343062,13706416,14215966,14592456
 "49000","Utah",7,CAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",2654763,2742746,2893414,3170539,3440846,3708301,3916680,4008510,3839641,3857284,4193298,4414088,4633120,4847099,5026274,5260543,5405475,5638299,5971301,6403816,6989850,7723719
 "49000","Utah",7,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",3650827,3807835,4028638,4473161,5030332,6268875,6031629,5518883,4624470,5096764,5820966,7463473,7916293,8683821,9664107,10199831,10995087,11875874,13236180,14681690,15930255,16464304
 "49000","Utah",7,CAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",191845,58803,84182,164745,106364,-12137,-4632,9493,-90523,42785,191682,131230,311155,397646,426867,156473,144375,133405,250296,221115,192537,522260
 "49000","Utah",7,CAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",3458982,3749032,3944456,4308416,4923968,6281012,6036261,5509390,4714993,5053979,5629284,7332243,7605138,8286175,9237240,10043358,10850712,11742469,12985884,14460575,15737718,15942044
 "49000","Utah",7,CAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",317352,200598,213594,306698,268077,147022,186406,192855,108817,217739,364195,330077,537494,614503,608506,368066,376939,359177,416130,459987,452247,752986
 "49000","Utah",7,CAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",45269661,46415056,47950094,51580540,55777819,62502566,67081870,68379861,65506209,66649338,70571892,75533689,79305338,83460279,89190872,94497910,100403534,108170336,115973945,124087313,135837510,147034938
 "49000","Utah",7,CAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",36632211,37187054,38258437,41278632,44909232,51055551,55037731,55771166,52452643,53077211,56659967,61700100,65259506,68898907,74224654,78756598,84019007,90916081,97836417,104808497,115594257,125743062
 "49000","Utah",7,CAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",87941,80957,59281,29538,30779,42382,49666,44123,43995,43486,44204,51486,65336,68916,72156,77684,79210,92792,98929,120998,104508,104842
 "49000","Utah",7,CAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",2371,2001,1746,1716,1899,1709,2364,2349,(D),3692,2101,3337,(D),3292,(D),3669,(D),(D),(D),6407,3531,3869
 "49000","Utah",7,CAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",8144,4527,4378,2255,3462,6427,9236,9250,(D),7327,7839,9890,(D),15534,(D),19961,(D),(D),(D),33539,24080,25072
 "49000","Utah",7,CAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",77426,74429,53157,25567,25418,34246,38066,32524,33930,32467,34264,38259,48531,50090,50772,54054,56197,64220,67533,81052,76897,75901
 "49000","Utah",7,CAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",460978,422580,412238,452763,532065,702249,765383,876927,679863,780036,1059225,1133468,1059624,1042948,860275,658203,709537,913092,932522,1274590,1470395,1628944
 "49000","Utah",7,CAINC5N,201,"211","    Oil and gas extraction ","Thousands of dollars",31284,25823,42565,59818,73080,114867,113029,156682,135527,193932,256525,292715,292077,319989,255712,212023,183537,160891,148065,101879,94746,177102
 "49000","Utah",7,CAINC5N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",301909,281784,250044,230379,226350,240467,220173,209406,244222,290419,383043,317532,250695,225392,226912,165147,234185,442181,476940,896822,1070771,1043841
 "49000","Utah",7,CAINC5N,203,"213","    Support activities for mining ","Thousands of dollars",127785,114973,119629,162566,232635,346915,432181,510839,300114,295685,419657,523221,516852,497567,377651,281033,291815,310020,307517,275889,304878,408001
 "49000","Utah",7,CAINC5N,300,"22","   Utilities ","Thousands of dollars",401215,433670,333029,354053,369506,438113,413978,469373,464311,481088,491621,464173,497643,545522,629510,626235,827868,1103930,1300360,1932448,2662216,2733432
 "49000","Utah",7,CAINC5N,400,"23","   Construction ","Thousands of dollars",3376471,3307537,3415542,3810467,4384738,5512176,6170591,5489474,4258854,4318401,4358924,5142586,5430952,6175847,6774865,7313971,7992179,8725553,9740226,10996940,12163203,13609584
 "49000","Utah",7,CAINC5N,401,"236","    Construction of buildings ","Thousands of dollars",769747,746659,826329,1003069,1169630,1458392,1642842,1423608,902134,977795,921392,1428754,1536687,1854903,2054244,2158355,2264018,2343061,2619191,2965908,3482542,4079495
 "49000","Utah",7,CAINC5N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",493550,524255,459198,494499,532611,675669,802964,720308,606012,655856,686987,671104,667022,685092,711400,723911,840269,976146,1163896,1304745,1482959,1754541
 "49000","Utah",7,CAINC5N,403,"238","    Specialty trade contractors ","Thousands of dollars",2113174,2036623,2130015,2312899,2682497,3378115,3724785,3345558,2750708,2684750,2750545,3042728,3227243,3635852,4009221,4431705,4887892,5406346,5957139,6726287,7197702,7775548
 "49000","Utah",7,CAINC5N,500,"31-33","   Manufacturing ","Thousands of dollars",5598803,5391308,5625854,6011236,6273934,6822480,7411185,7790289,7099743,7236274,7600313,8060854,8412071,8547432,9046152,9309018,9881243,10239256,10790671,11371148,12567428,13456511
 "49000","Utah",7,CAINC5N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",3986636,3741619,3898049,4191066,4430571,4860913,5354766,5590970,4959094,5007461,5258518,5583307,5832436,5804762,6141687,6306867,6815651,6961901,7333456,7596518,8543790,8965521
 "49000","Utah",7,CAINC5N,511,"321","     Wood product manufacturing ","Thousands of dollars",76593,75914,87664,93429,110543,137209,168288,147543,82582,(D),(D),75109,84521,96371,106701,113471,124040,132252,(D),(D),180519,201186
 "49000","Utah",7,CAINC5N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",213241,199551,209621,227757,259236,312162,361968,340527,274147,258506,280145,296613,301871,325097,326588,331501,378261,384116,395990,392654,437603,499362
 "49000","Utah",7,CAINC5N,513,"331","     Primary metal manufacturing ","Thousands of dollars",291591,202878,189324,205332,221835,248143,270521,323197,256021,280970,325193,353882,356812,343639,353139,337273,342764,336954,348725,354807,365192,396406
 "49000","Utah",7,CAINC5N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",482368,474835,474153,514006,566304,628096,655264,697029,641686,632719,663383,735117,766992,792519,847645,880680,908073,975004,1008911,1096048,1174258,1245064
 "49000","Utah",7,CAINC5N,515,"333","     Machinery manufacturing ","Thousands of dollars",303379,286068,277023,278596,313750,342481,372443,399170,373216,364583,381825,380979,392347,404803,414827,410680,442323,481402,506967,488527,526387,590989
 "49000","Utah",7,CAINC5N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",852633,700563,680624,715665,732674,813167,982670,1083959,993710,1129467,1194582,1290015,1284407,1160366,1205498,1378815,1514306,1388657,1525844,1542608,1627756,1574848
 "49000","Utah",7,CAINC5N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",55071,55635,56675,63744,71840,80850,95936,99978,88422,91804,102049,116820,135966,160377,166921,173217,186004,202956,207580,194698,183250,239382
 "49000","Utah",7,CAINC5N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),322061,337367,360395,405671,420753,(D),(D),(D),(D),(D),(D)
 "49000","Utah",7,CAINC5N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),687807,652607,674090,709781,643934,701778,674941,(D),(D),851179,917807,(D),(D)
 "49000","Utah",7,CAINC5N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",249918,262913,268679,291920,310394,354819,381248,344294,235135,207139,210268,207694,221623,234740,268151,282679,300319,321061,325221,392894,494618,443828
 "49000","Utah",7,CAINC5N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",623067,664445,814475,891081,909230,936337,975655,1060723,982806,1015409,1072699,1130927,1240749,1282521,1344768,1302857,1469994,1490170,1567090,1678209,1953797,1932918
 "49000","Utah",7,CAINC5N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",1612167,1649689,1727805,1820170,1843363,1961567,2056419,2199319,2140649,2228813,2341795,2477547,2579635,2742670,2904465,3002151,3065592,3277355,3457215,3774630,4023638,4490990
 "49000","Utah",7,CAINC5N,531,"311","     Food manufacturing ","Thousands of dollars",505075,565906,568878,561537,551286,553699,600939,665658,675379,696479,724895,750753,798544,887316,941995,996656,1042183,1108803,1167174,1309443,1421899,1580811
