GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "50000","Vermont",1,CAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",18797433,19198107,19945829,21049089,21477398,22803466,24062984,25449395,25216382,25988718,27547769,28291866,28665970,29724479,30597984,31073264,31960192,33117074,34824056,37273845,39603541,40790337
 "50000","Vermont",1,CAINC5N,20,"...","Population (persons) 2/","Number of persons",612223,615442,617858,619920,621215,622892,623481,624151,624817,626360,629582,630661,632824,633827,635874,636342,639061,640667,641838,642893,646972,647064
 "50000","Vermont",1,CAINC5N,30,"...","Per capita personal income (dollars) ","Dollars",30704,31194,32282,33955,34573,36609,38595,40774,40358,41492,43756,44861,45298,46897,48120,48831,50011,51692,54257,57978,61214,63039
 "50000","Vermont",1,CAINC5N,35,"...","Earnings by place of work ","Thousands of dollars",13506631,13966633,14463890,15311602,15785712,16275061,16831322,17352245,17104575,17797100,18586425,18975648,19395900,19667799,20159407,20489536,21136196,21843878,22713633,22972483,24690366,26500469
 "50000","Vermont",1,CAINC5N,36,"..."," Less: Contributions for government social insurance 3/","Thousands of dollars",1522650,1546689,1613499,1702374,1788093,1883665,1992282,2053529,2030292,2064714,1930230,2004400,2323610,2427222,2523512,2581081,2688098,2755462,2792365,2852981,2921826,3195078
 "50000","Vermont",1,CAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",800736,822278,859291,911307,963427,1021407,1087027,1109839,1093850,1102662,910893,926033,1214882,1279193,1326441,1361512,1420726,1486154,1528317,1576200,1635301,1802307
 "50000","Vermont",1,CAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",721914,724411,754208,791067,824666,862258,905255,943690,936442,962052,1019337,1078367,1108728,1148029,1197071,1219569,1267372,1269308,1264048,1276781,1286525,1392771
 "50000","Vermont",1,CAINC5N,42,"..."," Plus: Adjustment for residence 4/","Thousands of dollars",236785,234332,250512,236860,248977,280657,290626,285062,331251,329974,305190,312588,337616,370651,370707,378286,418928,430797,493426,471085,548528,517836
 "50000","Vermont",1,CAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",12220766,12654276,13100903,13846088,14246596,14672053,15129666,15583778,15405534,16062360,16961385,17283836,17409906,17611228,18006602,18286741,18867026,19519213,20414694,20590587,22317068,23823227
 "50000","Vermont",1,CAINC5N,46,"..."," Plus: Dividends, interest, and rent 5/","Thousands of dollars",3904048,3688168,3855568,4080367,3830350,4351725,4752852,5205093,4752405,4578834,5189368,5483334,5458745,6051832,6325125,6387407,6610223,6950951,7534564,7515262,7922998,8431020
 "50000","Vermont",1,CAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",2672619,2855663,2989358,3122634,3400452,3779688,4180466,4660524,5058443,5347524,5397016,5524696,5797319,6061419,6266257,6399116,6482943,6646910,6874798,9167996,9363475,8536090
 "50000","Vermont",1,CAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",9346529,9560735,9874819,10383130,10724110,11224595,11667228,12070372,11805327,12020802,12365847,12791242,13198832,13639969,14108594,14453323,14907652,15411031,15962789,15931852,17056719,18587967
 "50000","Vermont",1,CAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",2205641,2367579,2554571,2746328,2912050,2860392,3021156,3169656,3034583,3083732,3394640,3410378,3572529,3449449,3681118,3693832,3761575,3869375,3869390,3997165,4224420,4355283
 "50000","Vermont",1,CAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 6/","Thousands of dollars",1483727,1643168,1800363,1955261,2087384,1998134,2115901,2225966,2098141,2121680,2375303,2332011,2463801,2301420,2484047,2474263,2494203,2600067,2605342,2720384,2937895,2962512
 "50000","Vermont",1,CAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",721914,724411,754208,791067,824666,862258,905255,943690,936442,962052,1019337,1078367,1108728,1148029,1197071,1219569,1267372,1269308,1264048,1276781,1286525,1392771
 "50000","Vermont",1,CAINC5N,70,"..."," Proprietors' income 7/","Thousands of dollars",1954461,2038319,2034500,2182144,2149552,2190074,2142938,2112217,2264665,2692566,2825938,2774028,2624539,2578381,2369695,2342381,2466969,2563472,2881454,3043466,3409227,3557219
